dataset,country_code,country,series,sector_code,unit,theme,period,value
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2000-Q1,2506715.433035281
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2000-Q2,2564066.403824001
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2000-Q3,2635889.5896763103
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2000-Q4,2687455.8027810007
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2001-Q1,2795799.3212221554
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2001-Q2,2851798.0635711146
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2001-Q3,2866584.306556758
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2001-Q4,2903196.1718324823
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2002-Q1,2932512.0756452484
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2002-Q2,2952542.307888403
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2002-Q3,2948752.4971656185
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2002-Q4,2965434.81981854
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2003-Q1,2980749.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2003-Q2,3006706.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2003-Q3,3007915.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2003-Q4,3036586.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2004-Q1,3055363.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2004-Q2,3093093.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2004-Q3,3104058.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2004-Q4,3152245.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2005-Q1,3189366.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2005-Q2,3283311.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2005-Q3,3322634.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2005-Q4,3404842.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2006-Q1,3520169.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2006-Q2,3635421.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2006-Q3,3726397.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2006-Q4,3839537.0
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2007-Q1,3951572.0229999996
BSI,U2,Euro area,Total NFC loans,2240,EUR,Bank lending by sector,2007-Q2,4100318.042
